fault_id,shah_subcategory,A_cp,B_cp,A_tp,B_tp,A_modes,B_modes,description_excerpt
shah-letta-ai-letta-issues-180,LLM Misconfiguration,,prevention,,pre_generation,,fabrication|logic_error,"[letta-ai/letta issues#180, Shah subcategory: LLM Misconfiguration] This fault arises when the static configuration of an LLM provider or model is incorrect or inconsistent. It includes incorrect mode"
shah-FoundationAgents-MetaGPT-issues-1336,LLM Misconfiguration,,prevention,,pre_generation,,fabrication|logic_error,"[FoundationAgents/MetaGPT issues#1336, Shah subcategory: LLM Misconfiguration] This fault arises when the static configuration of an LLM provider or model is incorrect or inconsistent. It includes inc"
shah-microsoft-autogen-pull-2718,LLM Usage and API Incompatibility,,,,in_generation,,logic_error|obsolescence,"[microsoft/autogen pull#2718, Shah subcategory: LLM Usage and API Incompatibility] This fault occurs when an agent’s LLM invocation logic is incompatible with the provider’s API schema, protocol, or b"
shah-agno-agi-agno-issues-2336,LLM Usage and API Incompatibility,,,,in_generation,,logic_error|obsolescence,"[agno-agi/agno issues#2336, Shah subcategory: LLM Usage and API Incompatibility] This fault occurs when an agent’s LLM invocation logic is incompatible with the provider’s API schema, protocol, or beh"
shah-microsoft-autogen-issues-2702,Token Handling & Tracking Error,,detection,,in_generation,,context_pollution|logic_error,"[microsoft/autogen issues#2702, Shah subcategory: Token Handling & Tracking Error] This fault arises from a poor management or accounting of tokens within the agent framework. It includes inaccurate t"
shah-Arize-ai-phoenix-pull-5976,Token Handling & Tracking Error,,detection,,in_generation,,context_pollution|logic_error,"[Arize-ai/phoenix pull#5976, Shah subcategory: Token Handling & Tracking Error] This fault arises from a poor management or accounting of tokens within the agent framework. It includes inaccurate toke"
shah-crewAIInc-crewAI-issues-1501,Agent Execution Failure,,,,,,incomplete_execution,"[crewAIInc/crewAI issues#1501, Shah subcategory: Agent Execution Failure] This fault occurs when an agent’s core execution loop or orchestration logic is incorrectly implemented or configured. It incl"
shah-langflow-ai-langflow-pull-2594,Agent Execution Failure,,,,,,incomplete_execution,"[langflow-ai/langflow pull#2594, Shah subcategory: Agent Execution Failure] This fault occurs when an agent’s core execution loop or orchestration logic is incorrectly implemented or configured. It in"
shah-FoundationAgents-MetaGPT-pull-1381,Agent State Inconsistency,,,,post_generation,,context_pollution|logic_error,"[FoundationAgents/MetaGPT pull#1381, Shah subcategory: Agent State Inconsistency] This fault emerges when the internal state that defines an agent’s identity, context, or interaction history becomes c"
shah-microsoft-autogen-pull-5352,Agent State Inconsistency,,,,post_generation,,context_pollution|logic_error,"[microsoft/autogen pull#5352, Shah subcategory: Agent State Inconsistency] This fault emerges when the internal state that defines an agent’s identity, context, or interaction history becomes corrupte"
shah-microsoft-autogen-issues-4020,Agent Termination Failure,,,,post_generation,,incomplete_execution,"[microsoft/autogen issues#4020, Shah subcategory: Agent Termination Failure] This fault occurs when the agent's termination logic is defective or insufficient. It includes missing or incorrect stop cr"
shah-deepset-ai-haystack-pull-4703,API Misuse,,,,post_generation,,logic_error|scope_creep,"[deepset-ai/haystack pull#4703, Shah subcategory: API Misuse] This fault arises when the agent violates the semantic or behavioural contract of an API or tool interface. It includes calling unsupporte"
shah-SWE-agent-SWE-agent-issues-1159,API Parameter Mismatch,,correction,,in_generation,,logic_error,"[SWE-agent/SWE-agent issues#1159, Shah subcategory: API Parameter Mismatch] This fault arises when supplied API parameters are incorrectly structured, typed, ordered, or encoded. It includes mismatche"
